scale,MetricThreshold,num_matches,base,lsq_tiles,lsq,cpd
0.25,5000,782,114.013,6.52923602609558,9.78262,9.78262
0.25,7500,305,110.209,4.07884462803821,9.499408,9.499408
0.35,5000,918,109.9246,6.98125201818625,10.06341,10.06341
0.35,7500,439,108.5455,5.14480731709818,9.002584,9.002584
0.35,10000,183,116.0078,0.215566159180579,8.672737,8.672737
0.45,7500,477,111.8735,6.65291009314846,9.924887,9.924887
0.45,10000,214,108.6879,2.43113682696727,10.50374,10.50374
0.45,9000,283,110.4988,3.81616101627342,11.42431,11.42431
